Date,Open,High,Low,Close
12/28/2005,64398.68,64457.71,63675.57,63934.87
12/29/2005,64005.13,64063.68,63557.22,63925.65
12/30/2005,64245.1,64468.72,64157.97,64328.91
1/3/2006,63830.15,64579.73,62532.79,62687.35
1/4/2006,62541.51,62655.89,61429.14,62138.2
1/5/2006,61911.5,61962.51,61511.95,61840.55
1/6/2006,61629.83,61657.93,60081.78,60753.19
1/9/2006,60215.8,60460.83,59369.33,59650.21
1/10/2006,59252.78,59738.53,58546.23,58675.92
1/11/2006,58372.14,58443.29,57677,57936.91
1/12/2006,58241.08,58882.01,58154.17,58602.14
1/13/2006,58642.57,58944.4,58319.17,58456.59
1/17/2006,58772.25,59347.4,58766.9,59181.48
1/18/2006,60085.7,60311.76,59904.86,60000.87
1/19/2006,59461.86,59463.66,59189.54,59291.96
1/20/2006,60138.49,61284.87,59915.5,61146.14
1/23/2006,61599.08,62002.14,61217.9,61997.61
1/24/2006,61728.98,61925.97,61120.11,61126.05
1/25/2006,60734.94,60913.73,59393.96,60103.83
1/26/2006,59488.07,59488.07,58674.25,58672.82
1/27/2006,59827.5,59827.5,57493.67,57586.06
1/30/2006,57843.54,57994.47,56840.27,56847.93
1/31/2006,56615.42,57565.4,56555.63,57227.71
2/1/2006,57072.99,57227.71,56675.11,57034.38
2/2/2006,57360.95,57930.23,57182.22,57655.56
2/3/2006,58008.14,58466.5,57126.69,57520.18
2/6/2006,57319.86,57606.03,57196.59,57600.89
2/7/2006,57816.33,58234.01,57816.33,58081.35
2/8/2006,57532.28,57587.18,56543.94,56692.42
2/9/2006,56446.96,56499.55,55447.58,56084.33
2/10/2006,56506.56,56941.92,55716.79,55914.8
2/13/2006,56080.77,57246.94,56080.77,56918.24
2/14/2006,57515.81,57515.81,56050.22,56191.13
2/15/2006,56495.34,57016.83,56278.05,56457.47
2/16/2006,56405.81,56407.62,55204.12,55380.28
2/17/2006,55700.25,55744.93,54800.53,54799.19
2/21/2006,54456.92,54721.03,54268.26,54327.89
2/22/2006,53898.25,53898.25,52895.76,52951.34
2/23/2006,53212.03,53245.96,52947.22,52945.93
2/24/2006,52881.8,54805.55,52390.17,52438.23
2/27/2006,51968.98,51999.2,51810.79,51968.74
2/28/2006,52174.46,52919.3,51862.34,52754.32
3/1/2006,52876.44,52876.44,52196.77,52308.34
3/2/2006,52333.06,52792.22,52308.34,52416.08
3/3/2006,52833.66,52833.66,51965.02,52474.26
3/6/2006,52917.35,53360.44,52917.35,53165.39
3/7/2006,53509.54,53974.84,53370.83,53569.35
3/8/2006,53618.44,53688.56,52822.51,53020.79
3/9/2006,53430.26,53430.26,53230.77,53362.13
3/10/2006,52956.82,53236.34,52858.98,52878.37
3/13/2006,52590.65,52768.52,52027.41,52373.1
3/14/2006,52227.01,52237.44,51475.69,51647.99
3/15/2006,51732.89,51831.65,51389.83,51627.25
3/16/2006,51537.5,51606.54,50881.63,50886.9
3/17/2006,51093.34,51315.26,50732.07,51072.7
3/20/2006,51354.09,51597.73,50890.82,51373.07
3/21/2006,51554.36,51620.74,51087.46,51619.48
3/22/2006,51210.46,51333.16,50556.01,50847.64
3/23/2006,50929.25,50942.13,50920.65,50925.87
3/24/2006,51077.97,51116.54,50486.69,50599.04
3/27/2006,50819.11,50819.11,50317.01,50657.34
3/28/2006,49702.27,50604.05,49685.22,50583.59
3/29/2006,49939.34,49939.34,49356.74,49544.74
3/30/2006,48953.41,49534.14,48728.75,49282.71
3/31/2006,49506.68,49681.89,49506.68,49680.68
4/3/2006,49309.86,49545.6,48823.17,49541.97
4/4/2006,49279.28,49354.94,49138.48,49282.26
4/5/2006,48886.24,49154.44,48643.18,48763.48
4/6/2006,48763.48,48763.48,48326.75,48388.16
4/7/2006,48187.94,49439.35,48187.94,49262.83
4/10/2006,49069.3,49885.01,49015.2,49781.49
